sucursal,mes,n_creditos,monto_colocado,cosecha_pct,metaliado
Zinacantepec,2026-04,28,2362012.19,85.3,Marisol
Zinacantepec,2026-05,21,1631395.67,78.1,Marisol
Zinacantepec,2026-06,13,1460340.91,94.2,Marisol
Zinacantepec,2026-07,11,921411.68,100.0,Marisol
TOTAL,2026-02,61,5014352.69,91.7,Marisol
TOTAL,2026-03,70,6134377.67,88.2,Marisol
TOTAL,2026-04,66,5059757.17,86.1,Marisol
TOTAL,2026-05,54,3812906.04,85.5,Marisol
TOTAL,2026-06,59,4999593.71,95.0,Marisol
TOTAL,2026-07,26,1832863.61,100.0,Marisol
